Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
saffron-sesame rice pine nuts,side dish	rice	valentine's,4 servings,"2 c  water	1 ea vegetable bouillon cube	2/3 c  brown basmati rice	1 ts saffron threads	1/4 c  hot water	1/4 c  pine nuts	2 tb margarine	1 ea shallot, peeled & minced	2 ea scallions, minced	1/2 ea lemon, juiced	1 1/2 tb tahini	1/4 c  parsley, fresh, minced	1 tb sesame seeds	black pepper, to taste",TRIMMED DATA,TRIMMED DATA,in a large saucepan bring to a boil reduce heat to low and simmer for minutes or until the rice is tender drain the rice and set aside in a large saucepan bring water to a boil over medium heat add the rice and cook for minutes or until the rice is tender drain the rice and set aside in a large saucepan bring to a boil reduce heat and simmer for minutes or until the rice is tender drain the rice and add water to the pot and cook for minutes or until the rice is tender drain the rice and add water to the saucepan and cook for minutes or until the rice,in a large skillet over medium heat add the onion and cook until the onion is tender add the onion and saute for minutes add the garlic and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and stir well and cook for minutes add the rice and the sauce and cook for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for
salmon in tomato gravy,fish/shellf,4 servings,"1 ea onion, large, chopped	1 ea celery rib, chopped	1/4 c  butter	2 ea garlic cloves, chopped	1 tb parsley, chopped	2 c  tomatoes, chopped	1 tb sugar	1/2 ea lemon, juiced	1 ds worcestershire sauce	16 oz salmon	1 x  salt and pepper to taste",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients . mix well . in a small bowl , combine all ingredients . add remaining ingredients . cover and refrigerate at least 1 hour .  <EOS>",in a large saucepan bring the water to a boil add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook stirring until the mixture thickens and thickens add the tomatoes and cook for minutes or until the mixture thickens,in a large skillet over medium heat add the onion and garlic and cook for minutes add the onion and cook for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the rice and the stock and stir
salmon souffles,main dish	fish,2 servings,213 g  canned pink alaska salmon	2    eggs; separated	25 g  fresh white breadcrumbs	50 g  cream or curd cheese	6 tb sour cream	50 g  smoked salmon	1 ts horseradish sauce	11 g  sachet gelatine	15 g  watercress leaves  roughly chopped	100 g  mixed salad leaves	1    red apple; cored and sliced	1/2    lemon; juiced	25 g  walnuts,TRIMMED DATA,TRIMMED DATA,in a large saucepan bring to a boil reduce heat and simmer for minutes or until the mixture thickens and the consistency of the consistency of the liquid is absorbed add the sauce and cook for minutes or until the mixture thickens and thickens <EOS>,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and stir well add the flour and salt and pepper to taste and mix well add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic and the mixture is smooth and elastic and about minutes rrb add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic fold in the flour and salt and pepper to taste add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the
salmon steaks raspberry mirepoix,seafood,4 servings,4    (4 oz.) salmon steaks	2 tb raspberry vinegar	1/4 ts pepper	raspberry mirepoix,combine all ingredients in a small bowl . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients except cheese , and toss .  <EOS>",in a large saucepan bring to a boil reduce heat to low and simmer for minutes or until the mixture thickens and thickens add the vinegar,in a large skillet over medium heat add the onion and cook until the onion is tender add the garlic and cook until the meat is
salsa brava,salsa,2 cups,"6    tomatoes, charred or broiled	until skin blisters	1 md onion, chopped coarse	1    dried passilla chile	13/16    serrano chiles,charred	skined	3 tb cillantro	salt to taste",TRIMMED DATA,TRIMMED DATA,in a large saucepan bring the water to a boil add the water and cook for minutes add the tomatoes and cook for minutes or until the onion is tender drain the liquid and the liquid add the tomatoes and the water to the pot bring to a boil reduce heat to low and simmer for minutes or until the liquid has evaporated and the mixture thickens stirring constantly add the tomatoes and the water to the mixture stirring constantly add the tomatoes and the water bring to a boil over low heat stirring constantly until the mixture thickens stirring constantly remove from heat and stir in the lime juice and salt and bring to a boil reduce heat to low and simmer for minutes or until the mixture thickens slightly thickened and serve <EOS>,in a large skillet over medium heat add the onion and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the rice and the sauce and cook for minutes add the remaining ingredients and stir until the mixture is absorbed and the sauce is absorbed add the remaining ingredients and the sauce and cook for minutes add the rice and the sauce and cook
salsa picante,salsas,1 servings,"2 c  tomatoes, canned, with juice	1 sm onion	2    chile serrano	1 pn sugar	salt, to taste",combine all ingredients in a large bowl . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients except cheese , and mix well . add remaining ingredients . cover and refrigerate at least 1 hour .  <EOS>",in a large saucepan bring the water to a boil over low heat add the salt and pepper and cook stirring constantly until the onion is soft add the tomatoes and cook stirring until the mixture thickens and thickens stirring occasionally about minutes add the tomatoes and the water and cook for minutes add the water and cook,in a large bowl combine the flour and salt and pepper in a large bowl add the rest of the ingredients and mix well and add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic to the mixture is too thick and form
samosas spicy pumpkin filling,bakery	indian	vegetarian	karen's,1 batch,"1 1/2 c  flour	1/4 ts salt	1/4 c  oil	5 tb cold water - or as needed	1 tb oil	1/2 md onion	2 ea garlic cloves	16 oz cooked pumpkin puree - canned or homemade	1 tb lemon juice	1/2 ts salt, or to taste	1/2 ts cayenne pepper, or to taste	1/4 ts ground cumin	1/4 ts ground coriander	1/8 ts turmeric	1/8 ts ground ginger	1/8 ts ground cinnamon	1/8 ts ground cardamom	1/4 ts sugar	oil, for frying",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
san antonio seafood cocktail,appetizers	seafood	mexican,1 servings,8 oz pace picante sauce or ace thick & chunky salsa	8 oz ketchup	1    squeeze of fresh lemon juice,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients except almonds . mix well . pour into a greased 13x9x2-inch pan . bake in a preheated 350 degree oven for about 20 minutes . serve with whipped cream or ice cream .  <EOS>",in a large saucepan combine the lemon juice and lemon juice bring to a boil reduce heat to low and simmer for minutes or until the sauce thickens and thickens add the sauce and cook for minutes or until the sauce thickens and thickens <EOS>,in a large skillet over medium heat add the onion and cook for minutes add the remaining ingredients and stir until the mixture is smooth and the mixture is reached to the mixture is reached to the mixture is reached in a large skillet over medium heat and cook the chicken and minutes or until the meat
santa maria beans,low-cal,6 servings,"1 lb pink, red or pinto beans	1    bacon slice; diced	1/4 c  diced cooked ham	1    sm. garlic clove; minced	3/4 c  tomato puree	1/4 c  canned red chile sauce	1 tb sugar	1 ts dry mustard	1 ts salt	1 ds msg (optional)","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the onion , garlic , and garlic , and cook over medium heat until the vegetables are tender . add the garlic , onion , and garlic . cook over low heat until the vegetables are tender . add the garlic , and cook until the vegetables are tender . add the tomatoes and cook until the vegetables are tender . add the remaining ingredients . stir in the beans and the beans . bring to a boil , reduce heat and simmer , covered , until the vegetables are tender .  <EOS>",combine beans and water in a large saucepan bring to a boil reduce heat to low and simmer for minutes add water and cook stirring occasionally until the beans are tender about minutes drain off the beans and add the water to the pot add the water and cook for minutes add the beans and cook for minutes or until the beans are tender drain the beans and place in a large bowl add the remaining ingredients and mix well cover and cook for minutes or,in a large skillet over medium heat add the onion and cook until the onion is tender add the onion and saute for minutes add the garlic and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and stir until the mixture is smooth and the mixture is absorbed add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes
sauce piquante,main dish	cajun,1 servings,"1    hen (4-5 lb.)	1 c  chopped celery	1 c  chopped bell pepper	1 cn tomato paste (small)	1 ts sugar	5 c  water	2 cn crabmeat	3 cn shrimp, drained	2 c  chopped onion	4    cloves garlic, fine chop	1 cn ro-tel tomatoes	salt & red pepper to taste	1 sm can mushrooms (optional)	chopped green onion tops and arsely","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large bowl , combine all ingredients . mix well . in a small bowl , combine all ingredients . mix well . in a small bowl , combine remaining ingredients . mix well . in a small bowl , combine remaining ingredients . pour into a bowl and serve with crackers .  <EOS>",in a large saucepan combine the water and water bring to a boil reduce heat and simmer for minutes add tomato paste and cook for minutes add the tomatoes tomato paste and salt and pepper to taste add the tomato paste and cook for minutes or until the vegetables are tender crisp drain off fat stir in the tomato paste and the tomato paste and the remaining ingredients bring to a boil over low heat,in a large skillet over medium heat add the onion and garlic and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook
